Date(UTC),Pair,Side,Price,Quantity,Amount,Fee,Realized Profit
2021-04-13 21:27:15,ALPHAUSDT,SELL,1.53724000,13.00000000,19.9841200000 USDT,-0.0079936400 USDT,0.0000000000
2021-04-13 21:27:15,ALPHAUSDT,SELL,1.53714000,3.00000000,4.6114200000 USDT,-0.0018445600 USDT,0.0000000000
2021-04-13 21:29:27,ALPHAUSDT,SELL,1.54096000,16.00000000,24.6553600000 USDT,-0.0049310700 USDT,0.0000000000
2021-04-13 21:59:44,ALPHAUSDT,BUY,1.53027000,32.00000000,48.9686400000 USDT,-0.0195874500 USDT,0.2822600000
2021-04-13 22:09:55,IOTAUSDT,BUY,2.14530000,11.60000000,24.8854800000 USDT,-0.0049770900 USDT,0.0000000000
2021-04-13 23:10:39,ALPHAUSDT,SELL,1.54843000,16.00000000,24.7748800000 USDT,-0.0049549700 USDT,0.0000000000
2021-04-13 23:43:42,IOTAUSDT,SELL,2.20200000,6.30000000,13.8726000000 USDT,-0.0055490400 USDT,0.3572100000
2021-04-13 23:43:42,IOTAUSDT,SELL,2.20330000,5.30000000,11.6774900000 USDT,-0.0046709900 USDT,0.3074000000
2021-04-14 01:24:31,ALPHAUSDT,BUY,1.53913000,16.00000000,24.6260800000 USDT,-0.0098504300 USDT,0.1488000000
2021-04-14 02:37:23,IOTAUSDT,BUY,2.20040000,11.30000000,24.8645200000 USDT,-0.0049729000 USDT,0.0000000000
2021-04-14 03:33:32,IOTAUSDT,SELL,2.22630000,11.30000000,25.1571900000 USDT,-0.0100628700 USDT,0.2926700000
2021-04-14 04:20:27,ALPHAUSDT,BUY,1.56495000,15.00000000,23.4742500000 USDT,-0.0093897000 USDT,0.0000000000
2021-04-14 04:35:58,ALPHAUSDT,BUY,1.56000000,16.00000000,24.9600000000 USDT,-0.0049920000 USDT,0.0000000000
2021-04-14 05:07:08,IOTAUSDT,BUY,2.19250000,11.30000000,24.7752500000 USDT,-0.0049550500 USDT,0.0000000000
2021-04-14 05:25:46,ALPHAUSDT,SELL,1.57544000,31.00000000,48.8386400000 USDT,-0.0195354500 USDT,0.4043900000
2021-04-14 05:57:32,IOTAUSDT,BUY,2.15720000,11.50000000,24.8078000000 USDT,-0.0049615600 USDT,0.0000000000
2021-04-14 06:19:55,IOTAUSDT,BUY,2.16260000,11.50000000,24.8699000000 USDT,-0.0049739800 USDT,0.0000000000
2021-04-14 06:59:17,ALPHAUSDT,SELL,1.54531000,16.00000000,24.7249600000 USDT,-0.0049449900 USDT,0.0000000000
2021-04-14 07:09:11,IOTAUSDT,BUY,2.13390000,11.60000000,24.7532400000 USDT,-0.0049506400 USDT,0.0000000000
2021-04-14 07:58:33,IOTAUSDT,BUY,2.12660000,11.70000000,24.8812200000 USDT,-0.0049762400 USDT,0.0000000000
2021-04-14 08:00:59,ALPHAUSDT,SELL,1.55538000,16.00000000,24.8860800000 USDT,-0.0049772100 USDT,0.0000000000
2021-04-14 08:02:30,ALPHAUSDT,SELL,1.55855000,16.00000000,24.9368000000 USDT,-0.0049873600 USDT,0.0000000000
2021-04-14 08:04:20,ALPHAUSDT,SELL,1.56124000,16.00000000,24.9798400000 USDT,-0.0049959600 USDT,0.0000000000
2021-04-14 08:04:45,ALPHAUSDT,SELL,1.56255000,16.00000000,25.0008000000 USDT,-0.0050001600 USDT,0.0000000000
2021-04-14 08:16:32,ALPHAUSDT,SELL,1.57203000,15.00000000,23.5804500000 USDT,-0.0047160900 USDT,0.0000000000
