Date(UTC),Pair,Side,Price,Quantity,Amount,Fee,Realized Profit
2021-10-01 00:02:12,XTZUSDT,SELL,6.10800000,13.90000000,84.9012000000 USDT,-0.0000393800 BNB,0.0000000000
2021-10-01 00:02:59,QTUMUSDT,SELL,10.48500000,0.70000000,7.3395000000 USDT,-0.0000068000 BNB,0.0000000000
2021-10-01 00:02:59,QTUMUSDT,SELL,10.48500000,5.70000000,59.7645000000 USDT,-0.0000553900 BNB,0.0000000000
2021-10-01 00:02:59,QTUMUSDT,SELL,10.48500000,1.70000000,17.8245000000 USDT,-0.0000165200 BNB,0.0000000000
2021-10-01 00:03:01,TRXUSDT,SELL,0.08967000,949.00000000,85.0968300000 USDT,-0.0000788400 BNB,0.0000000000
2021-10-01 00:03:17,IOTAUSDT,SELL,1.15050000,11.30000000,13.0006500000 USDT,-0.0000060200 BNB,0.0000000000
2021-10-01 00:03:18,IOTAUSDT,SELL,1.15050000,62.70000000,72.1363500000 USDT,-0.0000334200 BNB,0.0000000000
2021-10-01 00:03:47,ATOMUSDT,SELL,36.27000000,2.35000000,85.2345000000 USDT,-0.0000394500 BNB,0.0000000000
2021-10-01 00:03:47,LINKUSDT,SELL,24.04600000,3.54000000,85.1228400000 USDT,-0.0000394000 BNB,0.0000000000
2021-10-01 00:04:07,QTUMUSDT,SELL,10.67200000,7.90000000,84.3088000000 USDT,-0.0000390300 BNB,0.0000000000
2021-10-01 00:04:41,DOTUSDT,SELL,28.80500000,2.90000000,83.5345000000 USDT,-0.0000386300 BNB,0.0000000000
2021-10-01 00:05:41,DOTUSDT,SELL,28.83200000,2.90000000,83.6128000000 USDT,-0.0000386600 BNB,0.0000000000
2021-10-01 00:07:44,FTMUSDT,SELL,1.21982000,190.00000000,231.7658000000 USDT,-0.0002148300 BNB,3.4928333300
2021-10-01 00:07:44,FTMUSDT,SELL,1.21996000,20.00000000,24.3992000000 USDT,-0.0000226100 BNB,0.3704666600
2021-10-01 00:11:04,QTUMUSDT,SELL,10.64400000,8.00000000,85.1520000000 USDT,-0.0000396200 BNB,0.0000000000
2021-10-01 00:12:48,DOTUSDT,SELL,28.85300000,2.90000000,83.6737000000 USDT,-0.0000389000 BNB,0.0000000000
2021-10-01 00:12:51,QTUMUSDT,SELL,10.76200000,7.90000000,85.0198000000 USDT,-0.0000395200 BNB,0.0000000000
2021-10-01 00:17:42,DOTUSDT,SELL,28.95900000,2.90000000,83.9811000000 USDT,-0.0000389900 BNB,0.0000000000
2021-10-01 00:19:06,DOTUSDT,SELL,29.14500000,2.90000000,84.5205000000 USDT,-0.0000391700 BNB,0.0000000000
2021-10-01 00:21:22,IOTAUSDT,SELL,1.15790000,73.50000000,85.1056500000 USDT,-0.0000394000 BNB,0.0000000000
2021-10-01 00:22:19,QTUMUSDT,SELL,10.80800000,7.80000000,84.3024000000 USDT,-0.0000390500 BNB,0.0000000000
2021-10-01 00:23:50,DOTUSDT,SELL,29.22400000,2.90000000,84.7496000000 USDT,-0.0000392300 BNB,0.0000000000
2021-10-01 00:24:26,XTZUSDT,SELL,6.13300000,13.90000000,85.2487000000 USDT,-0.0000394500 BNB,0.0000000000
2021-10-01 00:25:28,FTMUSDT,SELL,1.23457000,64.00000000,79.0124800000 USDT,-0.0000730500 BNB,0.0000000000
2021-10-01 00:25:28,FTMUSDT,SELL,1.23457000,5.00000000,6.1728500000 USDT,-0.0000057000 BNB,0.0000000000
2021-10-01 00:26:00,DOTUSDT,SELL,29.28700000,2.90000000,84.9323000000 USDT,-0.0000392200 BNB,0.0000000000
2021-10-01 00:29:10,ADAUSDT,SELL,2.12620000,40.00000000,85.0480000000 USDT,-0.0000392300 BNB,0.0000000000
2021-10-01 00:30:20,TRXUSDT,SELL,0.08984000,947.00000000,85.0784800000 USDT,-0.0000392100 BNB,0.0000000000
2021-10-01 00:34:44,NEARUSDT,SELL,7.03100000,12.00000000,84.3720000000 USDT,-0.0000777000 BNB,0.0000000000
2021-10-01 00:36:24,ALGOUSDT,SELL,1.63660000,52.00000000,85.1032000000 USDT,-0.0000391600 BNB,0.0000000000
2021-10-01 01:05:55,ALGOUSDT,BUY,1.61750000,5.40000000,8.7345000000 USDT,-0.0000081100 BNB,0.1031400000
2021-10-01 01:05:55,ALGOUSDT,BUY,1.61740000,3.80000000,6.1461200000 USDT,-0.0000057100 BNB,0.0729600000
2021-10-01 01:05:55,ALGOUSDT,BUY,1.61770000,42.80000000,69.2375600000 USDT,-0.0000643300 BNB,0.8089200000
2021-10-01 01:08:17,COTIUSDT,BUY,0.60252000,140.00000000,84.3528000000 USDT,-0.0000392700 BNB,0.0000000000
2021-10-01 01:21:17,QTUMUSDT,SELL,10.89900000,7.80000000,85.0122000000 USDT,-0.0000395000 BNB,0.0000000000
2021-10-01 01:57:45,DOGEUSDT,SELL,0.20421000,416.00000000,84.9513600000 USDT,-0.0000393200 BNB,0.0000000000
2021-10-01 02:00:12,DOGEUSDT,SELL,0.20434000,416.00000000,85.0054400000 USDT,-0.0000393300 BNB,0.0000000000
2021-10-01 02:01:08,NEARUSDT,SELL,7.00630000,6.00000000,42.0378000000 USDT,-0.0000194400 BNB,0.0000000000
2021-10-01 02:01:09,NEARUSDT,SELL,7.00630000,6.00000000,42.0378000000 USDT,-0.0000194400 BNB,0.0000000000
2021-10-01 02:01:36,XTZUSDT,SELL,6.13400000,13.90000000,85.2626000000 USDT,-0.0000394500 BNB,0.0000000000
2021-10-01 02:03:31,XTZUSDT,SELL,6.15100000,13.80000000,84.8838000000 USDT,-0.0000392500 BNB,0.0000000000
2021-10-01 02:03:41,UNIUSDT,BUY,24.30500000,3.00000000,72.9150000000 USDT,-0.0000337100 BNB,0.0000000000
2021-10-01 02:05:23,LUNAUSDT,BUY,38.23900000,2.00000000,76.4780000000 USDT,-0.0000354200 BNB,0.0000000000
2021-10-01 02:15:38,AXSUSDT,BUY,75.11000000,1.00000000,75.1100000000 USDT,-0.0000349500 BNB,0.0000000000
2021-10-01 02:18:26,LUNAUSDT,BUY,37.89600000,2.00000000,75.7920000000 USDT,-0.0000353300 BNB,0.0000000000
2021-10-01 02:19:31,LUNAUSDT,BUY,37.84400000,2.00000000,75.6880000000 USDT,-0.0000352900 BNB,0.0000000000
2021-10-01 02:20:40,ATOMUSDT,BUY,35.12000000,13.51000000,474.4712000000 USDT,-0.0004428300 BNB,4.5392599700
2021-10-01 02:20:40,ATOMUSDT,BUY,35.12000000,8.10000000,284.4720000000 USDT,-0.0002655000 BNB,2.7215400200
2021-10-01 02:21:37,AVAXUSDT,BUY,65.46800000,8.00000000,523.7440000000 USDT,-0.0004890200 BNB,5.2207058800
2021-10-01 02:21:37,AVAXUSDT,BUY,65.48000000,3.00000000,196.4400000000 USDT,-0.0001834100 BNB,1.9217647000
2021-10-01 02:21:37,AVAXUSDT,BUY,65.46800000,2.00000000,130.9360000000 USDT,-0.0001222500 BNB,1.3051764700
2021-10-01 02:21:37,AVAXUSDT,BUY,65.47700000,4.00000000,261.9080000000 USDT,-0.0002445400 BNB,2.5743529400
2021-10-01 02:25:28,LUNAUSDT,BUY,37.85300000,2.00000000,75.7060000000 USDT,-0.0000353900 BNB,0.0000000000
2021-10-01 02:34:49,AVAXUSDT,SELL,65.69700000,1.00000000,65.6970000000 USDT,-0.0000307000 BNB,0.0000000000
2021-10-01 02:37:09,XTZUSDT,SELL,6.16400000,13.80000000,85.0632000000 USDT,-0.0000398000 BNB,0.0000000000
2021-10-01 02:40:11,DOGEUSDT,BUY,0.20254000,1668.00000000,337.8367200000 USDT,-0.0003166900 BNB,2.0579799900
2021-10-01 02:40:46,COTIUSDT,BUY,0.59487000,142.00000000,84.4715400000 USDT,-0.0000396500 BNB,0.0000000000
2021-10-01 02:41:07,LUNAUSDT,BUY,37.17500000,2.00000000,74.3500000000 USDT,-0.0000699900 BNB,0.0000000000
2021-10-01 02:42:03,FTMUSDT,BUY,1.21275000,69.00000000,83.6797500000 USDT,-0.0000787200 BNB,1.5055800000
